symbol,open_time_ms,open,high,low,close,volume,close_time_ms,quote_asset_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
ETHUSDT,1768839900000,3217.77000000,3220.42000000,3217.31000000,3218.26000000,681.15740000,1768840199999,2192865.05966600,10785,227.44880000,732249.10663700,0
ETHUSDT,1768840200000,3218.25000000,3221.43000000,3218.05000000,3220.99000000,725.28890000,1768840499999,2334985.53554800,19091,323.89630000,1042791.86381500,0
ETHUSDT,1768840500000,3220.99000000,3221.00000000,3216.28000000,3218.98000000,773.07450000,1768840799999,2488563.18284200,22998,219.51490000,706577.18295600,0
ETHUSDT,1768840800000,3218.98000000,3218.99000000,3216.57000000,3218.76000000,267.30480000,1768841099999,860107.45781500,11420,96.54970000,310670.11427200,0
ETHUSDT,1768841100000,3218.76000000,3220.64000000,3217.60000000,3217.73000000,495.79290000,1768841399999,1596147.44041300,10587,198.69100000,639709.11635000,0
ETHUSDT,1768841400000,3217.73000000,3227.17000000,3216.57000000,3226.85000000,883.56850000,1768841699999,2847109.48426500,14109,766.15010000,2469012.23313600,0
ETHUSDT,1768841700000,3226.84000000,3226.86000000,3222.72000000,3223.16000000,643.41430000,1768841999999,2074501.12419400,13292,287.54910000,927022.47542700,0
ETHUSDT,1768842000000,3223.16000000,3223.87000000,3218.55000000,3218.73000000,718.56120000,1768842299999,2314223.93350700,18219,189.36440000,609952.74749100,0
ETHUSDT,1768842300000,3218.73000000,3222.58000000,3218.72000000,3221.89000000,246.13570000,1768842599999,792794.22705800,14207,109.94490000,354124.08207900,0
ETHUSDT,1768842600000,3221.88000000,3224.29000000,3221.69000000,3223.03000000,350.21770000,1768842899999,1128810.00647900,9733,163.98400000,528536.73436700,0
ETHUSDT,1768842900000,3223.03000000,3223.85000000,3220.95000000,3221.07000000,406.96190000,1768843199999,1311352.61284700,9266,92.38950000,297693.63113400,0
ETHUSDT,1768843200000,3221.07000000,3221.99000000,3220.51000000,3221.99000000,165.66140000,1768843499999,533642.01764400,6619,80.79240000,260262.57565300,0
ETHUSDT,1768843500000,3221.99000000,3226.00000000,3221.99000000,3224.20000000,465.30510000,1768843799999,1500310.79531300,11111,212.79240000,686040.37557000,0
ETHUSDT,1768843800000,3224.20000000,3224.21000000,3220.00000000,3221.03000000,351.56830000,1768844099999,1132765.55721000,11863,108.30730000,348895.93367700,0
